Restaurant_id,hours_open_sunday,hours_open_monday,hours_open_tuesday,hours_open_wednesday,hours_open_thursday,hours_open_friday,hours_open_saturday,hours_close_sunday,hours_close_monday,hours_close_tuesday,hours_close_wednesday,hours_close_thursday,hours_close_friday,hours_close_saturday
cowboys-and-indians-tex-in-kitchen-houston,1100,1100,1100,1100,1100,0800,0800,2100,2100,2100,2100,0000,0000,2100
perbacco-houston,1100,1100,1100,1700,1700,1700,,1430,1430,1430,2100,2100,2100,
the-general-public-houston,1100,1100,1100,1100,1100,1030,1030,0000,0000,0000,0000,0200,0200,0000
liberty-kitchen-and-oysterette-houston,1100,1100,1100,1100,1100,0900,0900,2200,2200,2200,2200,2300,2300,2100
izakaya-wa-houston,,1730,1730,1730,1730,1730,1700,,2200,2200,2200,2300,2300,2100
house-of-bowls-houston,1100,,1100,1100,1100,1100,1100,2200,,2200,2200,2300,2300,2130
foreign-policy-food-truck-houston-19,,,,1100,,,,,,,1400,,,
helen-ts-soul-food-cafe-houston,,,,1100,1100,1000,1000,,,,1800,1800,1700,1700
m-and-m-grill-houston,1100,1100,1100,1100,1100,1100,,2200,2200,2200,2200,2300,2300,
city-acre-brewing-houston,1600,,1600,1600,1100,1100,1100,2200,,2200,2200,2300,2300,2000
steak-48-houston-2,1600,1600,1600,1600,1600,1600,1600,2200,2200,2200,2200,2300,2300,2200
che-inka-houston,1030,1030,1030,1030,1030,1030,1030,2130,2130,2130,2130,2230,2230,2130
moku-bar-houston,1100,1100,1100,1100,1100,1100,1100,2100,2100,2100,2100,2100,2100,2100
karbach-brewing-company-houston,1100,1100,1100,1100,1100,1100,1100,2100,2130,2130,2130,2130,2130,2100
maba-pan-asian-diner-houston,1100,1100,1100,1100,1100,1100,,2200,2200,2200,2200,2200,2200,
adair-kitchen-houston,0700,0700,0700,0700,0700,0800,0800,2200,2200,2200,2200,2200,2200,2100
gumbo-jeauxs-houston-4,1100,1100,1100,1100,1100,1100,,2000,2000,2000,2000,2000,1800,
uchi-houston,1700,1700,1700,1700,1700,1700,1700,2200,2200,2200,2200,2300,2300,2200
thai-jasmine-restaurant-houston,1100,1100,1100,1100,1100,1100,,2130,2130,2130,2130,2130,2130,
helens-kitchen-houston,1100,1100,1100,1100,1000,1000,,2000,2000,2000,2000,2100,2100,
south-bank-seafood-bar-houston,1100,1100,1100,1100,1100,1100,1100,0000,0000,0000,0000,0200,0200,2200
ramen-bar-ichi-houston,,1800,1800,1800,1800,1700,1700,,2200,2200,2200,2200,2200,2100
texas-shrimp-shack-houston,1500,1500,1500,1500,1500,1200,1200,2200,2200,2200,2200,2200,2200,2100
simply-greek-houston-7,1100,1100,1100,1100,1100,1100,1100,2100,2100,2100,2100,2200,2200,2100
