Restaurant_id,Category
ozona-grill-and-bar-college-station,bars
ozona-grill-and-bar-college-station,mexican
ozona-grill-and-bar-college-station,newamerican
lamar-and-nikis-pit-bbq-and-soul-food-bryan,soulfood
lamar-and-nikis-pit-bbq-and-soul-food-bryan,bbq
shun-de-mom-college-station,chinese
shun-de-mom-college-station,korean
shun-de-mom-college-station,asianfusion
yoles-la-familia-taqueria-college-station-2,mexican
jasons-deli-college-station,delis
jasons-deli-college-station,salad
jasons-deli-college-station,sandwiches
maddens-casual-gourmet-bryan,tradamerican
zands-persian-kebabs-bryan,persian
zands-persian-kebabs-bryan,mediterranean
zands-persian-kebabs-bryan,mideastern
kluay-kluay-thai-restaurant-bryan-2,thai
atami-steak-and-sushi-college-station,sushi
atami-steak-and-sushi-college-station,japanese
atami-steak-and-sushi-college-station,asianfusion
rosies-pho-college-station,vietnamese
rosies-pho-college-station,asianfusion
rosies-pho-college-station,thai
college-main-street-college-station,bars
college-main-street-college-station,newamerican
newks-eatery-college-station,pizza
newks-eatery-college-station,soup
newks-eatery-college-station,sandwiches
raising-canes-chicken-fingers-college-station,hotdogs
raising-canes-chicken-fingers-college-station,chicken_wings
rosas-cafe-and-tortilla-factory-college-station,mexican
rosas-cafe-and-tortilla-factory-college-station,cafes
rosas-cafe-and-tortilla-factory-college-station,tex-mex
vys-kitchen-asian-cuisine-college-station,asianfusion
vys-kitchen-asian-cuisine-college-station,chinese
vys-kitchen-asian-cuisine-college-station,vietnamese
cafe-eccell-bryan,cafes
cafe-eccell-bryan,pizza
burger-house-bryan,burgers
jesses-taqueria-and-bakery-bryan,tex-mex
jesses-taqueria-and-bakery-bryan,breakfast_brunch
jesses-taqueria-and-bakery-bryan,bakeries
campfire-restaurant-bryan,newamerican
campfire-restaurant-bryan,seafood
campfire-restaurant-bryan,cocktailbars
cotton-patch-cafe-college-station,tradamerican
cotton-patch-cafe-college-station,southern
cotton-patch-cafe-college-station,comfortfood
levy-restaurants-college-station,hotdogs
fargos-pit-bbq-bryan-2,bbq
fargos-pit-bbq-bryan-2,soulfood
wings-n-more-restaurant-and-bar-college-station-2,tradamerican
wings-n-more-restaurant-and-bar-college-station-2,chicken_wings
wings-n-more-restaurant-and-bar-college-station-2,sandwiches
t-jin-china-diner-college-station,chinese
master-yakiniku-korean-and-japanese-bbq-bryan,japanese
master-yakiniku-korean-and-japanese-bbq-bryan,korean
master-yakiniku-korean-and-japanese-bbq-bryan,bbq
zaxbys-chicken-fingers-and-buffalo-wings-college-station,chicken_wings
zaxbys-chicken-fingers-and-buffalo-wings-college-station,salad
zaxbys-chicken-fingers-and-buffalo-wings-college-station,hotdogs
the-backyard-college-station,tradamerican
the-backyard-college-station,sportsbars
the-backyard-college-station,tex-mex
carneys-pub-and-grill-bryan,bars
carneys-pub-and-grill-bryan,tradamerican
fuzzys-taco-shop-college-station,tex-mex
lupe-tortilla-college-station,tex-mex
lupe-tortilla-college-station,hotdogs
the-remnant-from-nawlins-bryan,cajun
the-remnant-from-nawlins-bryan,burgers
the-remnant-from-nawlins-bryan,soulfood
mooyah-burgers-fries-and-shakes-college-station,burgers
mooyah-burgers-fries-and-shakes-college-station,icecream
mooyah-burgers-fries-and-shakes-college-station,hotdog
chick-fil-a-college-station,hotdogs
c-and-j-barbeque-aggieland-store-college-station,bbq
proudest-monkey-bryan,tradamerican
proudest-monkey-bryan,sportsbars
proudest-monkey-bryan,gastropubs
c-and-j-barbeque-the-original-store-college-station,bbq
chimys-cerveceria-college-station,tex-mex
fireside-cafe-and-bar-college-station,bars
fireside-cafe-and-bar-college-station,tradamerican
fireside-cafe-and-bar-college-station,beer_and_wine
the-corner-bar-and-rooftop-grill-college-station,sportsbars
the-corner-bar-and-rooftop-grill-college-station,tradamerican
feed-barn-bryan,newamerican
salata-college-station,salad
kettle-restaurant-college-station,newamerican
genghis-grill-college-station,mongolian
genghis-grill-college-station,chinese
johnny-carinos-college-station,italian
johnny-carinos-college-station,salad
johnny-carinos-college-station,pizza
mcalisters-deli-college-station,sandwiches
mcalisters-deli-college-station,delis
mcalisters-deli-college-station,salad
applebees-college-station,tradamerican
applebees-college-station,sportsbars
applebees-college-station,burgers
potato-shack-northgate-college-station,tradamerican
potato-shack-northgate-college-station,salad
coco-loco-college-station,mexican
coco-loco-college-station,breakfast_brunch
coco-loco-college-station,salad
koppe-bridge-bar-and-grill-college-station-2,tradamerican
koppe-bridge-bar-and-grill-college-station-2,bbq
laynes-chicken-fingers-college-station,hotdogs
buffalo-wild-wings-college-station,chicken_wings
buffalo-wild-wings-college-station,tradamerican
buffalo-wild-wings-college-station,sportsbars
tx-burger-college-station-3,burgers
tx-burger-college-station-3,hotdogs
potbelly-sandwich-shop-college-station,sandwiches
shipwreck-grill-bryan,seafood
shipwreck-grill-bryan,cajun
panera-bread-college-station-3,sandwiches
panera-bread-college-station-3,salad
panera-bread-college-station-3,soup
c-and-c-asian-garden-college-station,chinese
c-and-c-asian-garden-college-station,sushi
c-and-c-asian-garden-college-station,asianfusion
blue-baker-college-station-3,pizza
blue-baker-college-station-3,bakeries
blue-baker-college-station-3,sandwiches
bavarian-brauhaus-bryan-2,german
bavarian-brauhaus-bryan-2,pubs
sbisa-dining-hall-college-station,buffets
sbisa-dining-hall-college-station,gelato
kolache-rolfs-college-station,bakeries
kolache-rolfs-college-station,sandwiches
pei-wei-college-station-2,chinese
pei-wei-college-station-2,gluten_free
pei-wei-college-station-2,asianfusion
fox-and-hound-college-station,tradamerican
fox-and-hound-college-station,sportsbars
whataburger-college-station-2,burgers
whataburger-college-station-2,hotdogs
whataburger-college-station-2,tradamerican
mollys-magnificent-creamery-and-eatery-bryan-2,tradamerican
mollys-magnificent-creamery-and-eatery-bryan-2,diners
the-in-between-girls-truck-college-station,foodtrucks
the-in-between-girls-truck-college-station,soulfood
the-in-between-girls-truck-college-station,mexican
the-village-cafe-bryan,breakfast_brunch
the-village-cafe-bryan,sandwiches
the-village-cafe-bryan,coffee
ihop-college-station,breakfast_brunch
ihop-college-station,tradamerican
mr-gs-pizzeria-college-station,pizza
mr-gs-pizzeria-college-station,salad
mr-gs-pizzeria-college-station,italian
los-cucos-mexican-cafe-college-station-college-station-2,mexican
los-cucos-mexican-cafe-college-station-college-station-2,tex-mex
los-cucos-mexican-cafe-college-station-college-station-2,bars
ninfas-mexican-restaurant-college-station-2,mexican
rx-pizza-and-bar-bryan,bars
rx-pizza-and-bar-bryan,pizza
rx-pizza-and-bar-bryan,salad
memes-gone-nutz-college-station,desserts
memes-gone-nutz-college-station,foodstands
chef-caos-college-station,chinese
chipotle-mexican-grill-college-station,mexican
chipotle-mexican-grill-college-station,hotdogs
kamei-sushi-and-grill-college-station,japanese
kamei-sushi-and-grill-college-station,sushi
freebirds-world-burrito-college-station-2,mexican
freebirds-world-burrito-college-station-2,tex-mex
on-the-border-mexican-grill-and-cantina-college-station-4,mexican
on-the-border-mexican-grill-and-cantina-college-station-4,tex-mex
marcos-pizza-college-station,pizza
mickeys-slider-truck-college-station,foodtrucks
mickeys-slider-truck-college-station,burgers
mickeys-slider-truck-college-station,newamerican
kolache-rolfs-college-station-3,bakeries
kolache-rolfs-college-station-3,sandwiches
fat-burger-grill-college-station,burgers
fat-burger-grill-college-station,sandwiches
fat-burger-grill-college-station,sportsbars
freddys-frozen-custard-and-steakburgers-college-station,burgers
freddys-frozen-custard-and-steakburgers-college-station,icecream
garpez-college-station,mexican
china-king-buffet-college-station,chinese
china-king-buffet-college-station,buffets
wingstop-college-station,chicken_wings
lime-fresh-mexican-grill-college-station,mexican
chef-caos-college-station-4,chinese
joy-luck-chinese-and-sushi-college-station,chinese
joy-luck-chinese-and-sushi-college-station,japanese
red-lobster-college-station,tradamerican
red-lobster-college-station,seafood
fazolis-college-station,italian
the-rollin-joint-college-station,newamerican
the-rollin-joint-college-station,foodstands
h-e-b-college-station,grocery
h-e-b-college-station,drugstores
h-e-b-college-station,delis
outback-steakhouse-college-station,steak
hungry-howies-pizza-college-station-3,pizza
panda-express-college-station-3,hotdogs
panda-express-college-station-3,chinese
taco-bell-college-station,mexican
taco-bell-college-station,tex-mex
taco-bell-college-station,hotdogs
sullys-landing-college-station,cafes
honeybaked-ham-co-college-station,delis
dominos-pizza-college-station,pizza
dominos-pizza-college-station,chicken_wings
dominos-pizza-college-station,sandwiches
firehouse-subs-college-station-2,sandwiches
firehouse-subs-college-station-2,hotdogs
firehouse-subs-college-station-2,delis
