Restaurant_id,Review_user,Review_text,Review_url
mickeys-sliders-college-station,Kaitie M.,I really loved this place when I first tried it a year ago. The Soul Slider was to die for and I was slowly working my way through the menu and introducing...,https://www.yelp.com/biz/mickeys-sliders-college-station?hrid=4BdkCRGZgu1GgJxKymgA9A&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
twisted-noodle-cafe-college-station,Jeff B.,"This noodle shop was a pleasant surprise. Noodles are made fresh on-site. You can actually watch the cook mix up the dough, smack it around to get the right...",https://www.yelp.com/biz/twisted-noodle-cafe-college-station?hrid=Y2Ez6whBQ5HS8ebL65-xSQ&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
twisted-noodle-cafe-college-station,Chris T.,"Way above what I was expecting...I am from Seattle and was craving ramen in college station of all places...and Teisted Noodle popped up.

Nice and quick...",https://www.yelp.com/biz/twisted-noodle-cafe-college-station?hrid=LroceprfbRY1_38XX4cx0w&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
twisted-noodle-cafe-college-station,Rebecca H.,"The bubble milk tea is diluted. I won't suggest you drink it.
The dessert crepe is not bad. Worth trying.
The spicy beef ramen is not spicy at all. I was...",https://www.yelp.com/biz/twisted-noodle-cafe-college-station?hrid=WY2RcmSP1yrl3rtArDIoXA&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
shun-de-mom-express-college-station-6,Ashley T.,"Some of the best Chinese food I've had, and I don't even really like Chinese food!

Atmosphere: Located inside the BCS market, this place has no decor -...",https://www.yelp.com/biz/shun-de-mom-express-college-station-6?hrid=2eTfhAHxu8F4ecMRl6yx9w&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
shun-de-mom-express-college-station-6,Jenny H.,"Best Chinese restaurant in town. After ordering your food you can walk around the food market while you wait, then when you are done shopping..your food is...",https://www.yelp.com/biz/shun-de-mom-express-college-station-6?hrid=TGwOjf1aTZSVfD0mIGDCdw&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
shun-de-mom-express-college-station-6,Ngoc H.,I am not afraid to admit that I am giving this place a five star for their sesame chicken alone. It is the most perfect fried sesame chicken you will ever...,https://www.yelp.com/biz/shun-de-mom-express-college-station-6?hrid=NUjRNdhxNNzeB71_qb4-wg&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
ohana-korean-grill-college-station,David S.,"Best Korean restaurant in College Station hands down.
Waiter named David is pretty chill too. 

Get the bulgogi bibimbap. 

Thanks and Gig'Em.",https://www.yelp.com/biz/ohana-korean-grill-college-station?hrid=ZaYEvLSRskZRlp8mD6dABg&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
ohana-korean-grill-college-station,Christine R.,"I came here tonight with some family and we ordered individually. Something that I'm not used to, but it's kinda set up that way. There is no Korean BBQ...",https://www.yelp.com/biz/ohana-korean-grill-college-station?hrid=ydedNy48-524zcZyGXqVFg&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
ohana-korean-grill-college-station,Sean C.,"Food was really good. Server was really nice to start with, but basically forgot about us when his friends showed up. The other lady started helping us...",https://www.yelp.com/biz/ohana-korean-grill-college-station?hrid=ZqIisbs6B0JFyywzbYE6Bg&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
